,TOT_POP,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,Physicians,Patient Care,Primary Care,Patient Care Primary Care,General Surgeons,Patient Care General Surgeons,nurse practitioners,physician assistants,Total Hospitals (2019),Internal Medicine,Medicine/General,Specialist,ICU Beds_x,Total Population,Population Aged 60+,COUNTY_NAME,STATE_NAME,anycondition_prevalence,anycondition_Lower 95% CI,anycondition_Upper 95% CI,anycondition_number,Obesity_prevalence,Obesity_Lower 95% CI,Obesity_Upper 95% CI,Obesity_number,Heart disease_prevalence,Heart disease_Lower 95% CI,Heart disease_Upper 95% CI,Heart disease_number,COPD_prevalence,COPD_Lower 95% CI,COPD_Upper 95% CI,COPD_number,diabetes_prevalence,diabetes_Lower 95% CI,diabetes_Upper 95% CI,diabetes_number,CKD_prevalence,CKD_Lower 95% CI,CKD_Upper 95% CI,CKD_number,Urban_rural_code
0,10138,1198,1130,1395,1446,1274,1356,1219,703,417,217.1,196.7,77.2,71.2,7.6,6.9,5.262026351,1.109650807,0.209485479,4.739349709,3.874444313,13.15402882,0,10478,2371,5,0,60.7,58.6,62.6,4853,45.8,44.2,47.4,3664,10.0,9.3,10.8,804,10.9,9.6,12.1,873,20.6,19.4,21.9,1651,4.5,4.2,4.8,360,6
1,12277,1367,1434,1410,1260,1335,1754,1726,1308,683,217.1,196.7,77.2,71.2,7.6,6.9,6.372252664,1.343774212,0.253684477,5.739297334,4.691906967,15.9293758,0,12649,3542,17,0,59.3,57.8,60.9,5764,43.2,41.9,44.5,4202,11.7,10.9,12.6,1139,12.7,11.5,14.0,1239,20.5,19.5,21.6,1994,4.8,4.5,5.1,464,6
2,8233,993,998,996,866,798,1098,1287,750,447,217.1,196.7,77.2,71.2,7.6,6.9,4.27325537,0.90113978,0.170121716,3.848793268,3.146409551,10.68229624,0,8533,2352,31,0,62.4,60.4,64.2,3996,45.6,43.8,47.3,2922,12.5,11.6,13.5,802,13.4,11.9,14.9,859,25.6,24.2,27.0,1641,5.8,5.4,6.2,369,6
3,9974,1276,1164,1286,1094,1083,1459,1311,866,435,217.1,196.7,77.2,71.2,7.6,6.9,5.176903809,1.091700252,0.206096683,4.662682383,3.811768355,12.94123924,0,10362,2481,42,0,61.7,59.8,63.6,4764,45.8,44.2,47.4,3535,11.0,10.2,11.9,849,12.1,10.7,13.5,932,22.3,20.9,23.6,1719,5.0,4.7,5.3,385,3
4,9140,1032,1451,1346,897,960,1046,1131,804,473,217.1,196.7,77.2,71.2,7.6,6.9,4.744024546,1.000415109,0.188863413,4.27280098,3.493038176,11.8591264,0,9680,2278,52,0,61.6,59.8,63.5,4435,44.1,42.5,45.6,3174,11.7,10.9,12.5,845,12.9,11.5,14.2,926,22.7,21.4,23.7,1632,5.3,4.9,5.6,378,6
5,32113,3731,3857,4374,4853,4195,4580,4001,1843,679,276.9,256.7,112.8,105.6,9.6,8.5,20.90242163,15.06716226,0.914480946,9.493183156,25.77965334,36.84051812,9,32434,5907,76,1,33.2,31.4,34.9,8394,25.0,23.8,26.2,6321,5.5,5.0,6.0,1397,5.6,4.8,6.4,1416,8.4,7.8,9.1,2135,2.5,2.3,2.6,621,5
6,8647,952,1097,1128,1225,1115,1132,1138,548,312,276.9,256.7,112.8,105.6,9.6,8.5,5.628351129,4.057103106,0.246240362,2.556209471,6.941633059,9.919968865,0,8810,1829,88,1,32.7,31.1,34.3,2220,26.5,25.2,27.8,1800,6.3,5.9,6.9,431,6.4,5.6,7.2,433,9.7,9.0,10.3,658,2.8,2.6,2.9,189,6
7,14523,331,190,374,532,14547,15537,14837,7770,3371,242.0,224.0,78.1,73.2,6.9,6.1,67.7852981,38.64339651,1.653299954,66.23159453,53.56293465,184.6317744,41,138639,23195,96,2,31.8,30.4,33.1,36031,24.6,23.6,25.5,27896,5.6,5.2,6.0,6344,6.5,5.7,7.3,7322,8.5,7.9,9.0,9597,2.9,2.7,3.0,152,4
8,14523,331,190,374,532,389,1635,488,246,296,279.6,243.8,96.2,87.1,7.2,6.2,649.4754788,333.5861792,15.12661846,942.2745642,640.3742265,2476.341207,282,1629615,300276,166,4,31.3,30.1,32.5,3427,23.4,22.6,24.2,2523,4.7,4.4,5.0,1050,4.4,3.9,5.0,43,9.4,8.9,10.0,547,2.5,2.4,2.6,152,1
9,14523,331,190,374,532,389,1635,488,246,296,279.6,243.8,96.2,87.1,7.2,6.2,448.198646,230.2055716,10.43877734,650.2573194,441.9179332,1708.90636,163,1123678,231404,172,4,33.7,32.3,35.1,3427,23.1,22.2,24.0,2523,5.4,5.0,5.8,1050,5.2,4.5,6.0,43,9.8,9.2,10.4,547,2.8,2.6,2.9,152,2
10,14523,331,190,374,532,389,1635,488,246,296,279.6,243.8,96.2,87.1,7.2,6.2,101.1827785,51.96990124,2.356599033,146.798396,99.76488052,385.7929854,66,260814,72684,186,4,29.6,27.7,31.5,3427,21.4,20.1,22.8,2523,6.1,5.5,6.8,1050,5.4,4.4,6.6,43,9.2,8.4,10.0,547,2.9,2.7,3.2,152,2
